"filename", "language", "YAML", "Markdown", "JSON", "HTML", "Dart", "Properties", "XML", "comment", "blank", "total"
"c:\Users\EK\Desktop\untitled2\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 2, 3
"c:\Users\EK\Desktop\untitled2\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 22, 4, 29
"c:\Users\EK\Desktop\untitled2\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 4, 1, 8
"c:\Users\EK\Desktop\untitled2\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 38, 11, 1, 50
"c:\Users\EK\Desktop\untitled2\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 7, 2, 13
"c:\Users\EK\Desktop\untitled2\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 7, 2, 13
"c:\Users\EK\Desktop\untitled2\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 9, 1, 19
"c:\Users\EK\Desktop\untitled2\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 9, 1, 19
"c:\Users\EK\Desktop\untitled2\android\app\src\main\res\xml\network_security_config.xml", "XML", 0, 0, 0, 0, 0, 0, 7, 1, 0, 8
"c:\Users\EK\Desktop\untitled2\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 4, 1, 8
"c:\Users\EK\Desktop\untitled2\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\EK\Desktop\untitled2\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\EK\Desktop\untitled2\build.yaml", "YAML", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\EK\Desktop\untitled2\devtools_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\EK\Desktop\untitled2\lib\core\di\dependency_injecton.dart", "Dart", 0, 0, 0, 0, 45, 0, 0, 10, 11, 66
"c:\Users\EK\Desktop\untitled2\lib\core\helpers\constants.dart", "Dart", 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\EK\Desktop\untitled2\lib\core\helpers\extensions.dart", "Dart", 0, 0, 0, 0, 16, 0, 0, 0, 6, 22
"c:\Users\EK\Desktop\untitled2\lib\core\helpers\helpers.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\EK\Desktop\untitled2\lib\core\helpers\regex.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 2, 16
"c:\Users\EK\Desktop\untitled2\lib\core\helpers\shared_preference.dart", "Dart", 0, 0, 0, 0, 55, 0, 0, 29, 13, 97
"c:\Users\EK\Desktop\untitled2\lib\core\networking\api_constants.dart", "Dart", 0, 0, 0, 0, 15, 0, 0, 6, 20, 41
"c:\Users\EK\Desktop\untitled2\lib\core\networking\api_error_handler.dart", "Dart", 0, 0, 0, 0, 32, 0, 0, 3, 5, 40
"c:\Users\EK\Desktop\untitled2\lib\core\networking\api_error_model.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 12, 9, 35
"c:\Users\EK\Desktop\untitled2\lib\core\networking\api_error_model.g.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 4, 5, 17
"c:\Users\EK\Desktop\untitled2\lib\core\networking\api_result.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 3, 11
"c:\Users\EK\Desktop\untitled2\lib\core\networking\api_result.freezed.dart", "Dart", 0, 0, 0, 0, 281, 0, 0, 32, 48, 361
"c:\Users\EK\Desktop\untitled2\lib\core\networking\api_service.dart", "Dart", 0, 0, 0, 0, 56, 0, 0, 7, 13, 76
"c:\Users\EK\Desktop\untitled2\lib\core\networking\api_service.g.dart", "Dart", 0, 0, 0, 0, 322, 0, 0, 5, 23, 350
"c:\Users\EK\Desktop\untitled2\lib\core\networking\dio_factory.dart", "Dart", 0, 0, 0, 0, 36, 0, 0, 4, 14, 54
"c:\Users\EK\Desktop\untitled2\lib\core\routing\app_router.dart", "Dart", 0, 0, 0, 0, 75, 0, 0, 0, 3, 78
